name_new,name_old,home_wins_new,home_wins_old,away_wins_new,away_wins_old,home_draws_new,home_draws_old,away_draws_new,away_draws_old,home_loss_new,home_loss_old,away_loss_new,away_loss_old,team_old,team_new,league,new_manager_type,old_manager_type,start_date_new,start_date_old,wins_new,wins_old,draws_new,draws_old,loss_new,loss_old,first_bounce_effect,first_bounce_cause,match_location,year,bounce_effect,bounce_value
José Mourinho,Mauricio Pochettino,0,0,1,0,0,0,0,1,0,0,0,0,Tottenham,Tottenham,EPL,PERMANENT,PERMANENT,2019-11-23,2019-11-03,1,0,0,1,0,0,WIN,DRAW,AWAY,2019,True,Bounce
Ryan Mason,José Mourinho,1,0,0,0,0,0,0,0,0,1,0,0,Tottenham,Tottenham,EPL,PERMANENT,PERMANENT,2021-04-21,2021-04-11,1,0,0,0,0,1,WIN,LOSS,HOME,2021,True,Bounce
Antonio Conte,Nuno Espírito Santo,0,0,0,0,0,0,1,0,0,0,0,1,Tottenham,Tottenham,EPL,PERMANENT,PERMANENT,2021-11-07,2021-10-24,0,0,1,0,0,1,DRAW,LOSS,AWAY,2021,True,Bounce
Cristian Stellini,Antonio Conte,0,1,0,0,0,0,1,0,0,0,0,0,Tottenham,Tottenham,EPL,INTERIM,PERMANENT,2023-04-03,2023-03-11,0,1,1,0,0,0,DRAW,WIN,AWAY,2023,False,No-Bounce
Ryan Mason,Cristian Stellini,0,0,0,0,1,0,0,0,0,1,0,0,Tottenham,Tottenham,EPL,PERMANENT,INTERIM,2023-04-27,2023-04-15,0,0,1,0,0,1,DRAW,LOSS,HOME,2023,True,Bounce
Marco Baroni,Moreno Longo,0,0,0,0,0,0,1,0,0,0,0,1,Frosinone,Frosinone,SERIE_A,PERMANENT,PERMANENT,2018-12-22,2018-12-08,0,0,1,0,0,1,DRAW,LOSS,AWAY,2018,True,Bounce
Frank Kramer,Uwe Neuhaus,0,0,0,0,1,0,0,0,0,1,0,0,Arminia,Arminia,BUNDESLIGA,PERMANENT,PERMANENT,2021-03-07,2021-02-19,0,0,1,0,0,1,DRAW,LOSS,HOME,2021,True,Bounce
Marco Kostmann,Frank Kramer,0,0,0,0,0,0,0,0,0,0,1,1,Arminia,Arminia,BUNDESLIGA,INTERIM,PERMANENT,2022-04-23,2022-04-09,0,0,0,0,1,1,LOSS,LOSS,AWAY,2022,False,No-Bounce
Fran Escribá,Jorge Almirón,1,0,0,0,0,1,0,0,0,0,0,0,Elche,Elche,LALIGA,PERMANENT,PERMANENT,2021-02-20,2021-02-06,1,0,0,1,0,0,WIN,DRAW,HOME,2021,True,Bounce
Sergio Mantecón,Fran Escribá,0,0,0,0,0,0,1,1,0,0,0,0,Elche,Elche,LALIGA,INTERIM,PERMANENT,2021-11-29,2021-11-07,0,0,1,1,0,0,DRAW,DRAW,AWAY,2021,False,No-Bounce
Francisco,Sergio Mantecón,1,0,0,0,0,0,0,0,0,1,0,0,Elche,Elche,LALIGA,PERMANENT,INTERIM,2021-12-05,2021-11-21,1,0,0,0,0,1,WIN,LOSS,HOME,2021,True,Bounce
Alberto Gallego,Francisco,0,0,0,0,1,0,0,0,0,0,0,1,Elche,Elche,LALIGA,INTERIM,PERMANENT,2022-10-10,2022-09-17,0,0,1,0,0,1,DRAW,LOSS,HOME,2022,True,Bounce
Jorge Almirón,Alberto Gallego,0,0,0,0,0,0,1,0,0,0,0,1,Elche,Elche,LALIGA,INTERIM,INTERIM,2022-10-15,2022-10-03,0,0,1,0,0,1,DRAW,LOSS,AWAY,2022,True,Bounce
Sergio Mantecón,Jorge Almirón,0,0,0,0,0,0,0,0,1,1,0,0,Elche,Elche,LALIGA,INTERIM,INTERIM,2022-11-08,2022-10-31,0,0,0,0,1,1,LOSS,LOSS,HOME,2022,False,No-Bounce
Pablo Machín,Sergio Mantecón,0,0,0,0,0,0,0,0,0,0,1,1,Elche,Elche,LALIGA,PERMANENT,INTERIM,2022-12-29,2022-11-05,0,0,0,0,1,1,LOSS,LOSS,AWAY,2022,False,No-Bounce
Sebastián Becaccece,Pablo Machín,0,0,0,0,0,1,0,0,1,0,0,0,Elche,Elche,LALIGA,PERMANENT,PERMANENT,2023-04-01,2023-03-11,0,0,0,1,1,0,LOSS,DRAW,HOME,2023,False,No-Bounce
Rubén Torrecilla,Robert Moreno,0,0,0,0,0,1,0,0,1,0,0,0,Granada,Granada,LALIGA,INTERIM,PERMANENT,2022-03-12,2022-02-28,0,0,0,1,1,0,LOSS,DRAW,HOME,2022,False,No-Bounce
Karanka,Rubén Torrecilla,0,0,0,0,0,0,1,0,0,0,0,1,Granada,Granada,LALIGA,PERMANENT,INTERIM,2022-04-20,2022-04-08,0,0,1,0,0,1,DRAW,LOSS,AWAY,2022,True,Bounce
Vincenzo Montella,Eduardo Berizzo,0,0,0,0,0,1,0,0,1,0,0,0,Sevilla,Sevilla,LALIGA,PERMANENT,PERMANENT,2018-01-06,2017-12-15,0,0,0,1,1,0,LOSS,DRAW,HOME,2018,False,No-Bounce
Joaquín Caparrós,Vincenzo Montella,1,0,0,0,0,0,0,1,0,0,0,0,Sevilla,Sevilla,LALIGA,INTERIM,PERMANENT,2018-05-04,2018-04-17,1,0,0,1,0,0,WIN,DRAW,HOME,2018,True,Bounce
