name_new,name_old,home_wins_new,home_wins_old,away_wins_new,away_wins_old,home_draws_new,home_draws_old,away_draws_new,away_draws_old,home_loss_new,home_loss_old,away_loss_new,away_loss_old,team_old,team_new,league,new_manager_type,old_manager_type,start_date_new,start_date_old,wins_new,wins_old,draws_new,draws_old,loss_new,loss_old,first_bounce_effect,first_bounce_cause,match_location,year,bounce_effect,bounce_value
Sabri Lamouchi,Christian Gourcuff,0,0,0,1,0,0,0,0,0,0,1,0,Rennes,Rennes,LIGUE_1,PERMANENT,PERMANENT,2017-11-18,2017-10-28,0,1,0,0,1,0,LOSS,WIN,AWAY,2017,False,No-Bounce
Julien Stéphan,Sabri Lamouchi,0,0,1,0,0,0,0,1,0,0,0,0,Rennes,Rennes,LIGUE_1,PERMANENT,PERMANENT,2018-12-05,2018-11-25,1,0,0,1,0,0,WIN,DRAW,AWAY,2018,True,Bounce
Philippe Bizeul,Julien Stéphan,0,0,0,0,0,0,0,0,0,0,1,1,Rennes,Rennes,LIGUE_1,INTERIM,PERMANENT,2021-03-03,2021-02-21,0,0,0,0,1,1,LOSS,LOSS,AWAY,2021,False,No-Bounce
Bruno Génésio,Philippe Bizeul,0,0,0,0,0,0,0,0,0,1,1,0,Rennes,Rennes,LIGUE_1,PERMANENT,INTERIM,2021-03-10,2021-02-26,0,0,0,0,1,1,LOSS,LOSS,AWAY,2021,False,No-Bounce
Siniša Mihajlović,Filippo Inzaghi,0,0,1,0,0,0,0,1,0,0,0,0,Bologna,Bologna,SERIE_A,PERMANENT,PERMANENT,2019-02-03,2019-01-20,1,0,0,1,0,0,WIN,DRAW,AWAY,2019,True,Bounce
Luca Vigiani,Siniša Mihajlović,1,0,0,0,0,1,0,0,0,0,0,0,Bologna,Bologna,SERIE_A,INTERIM,PERMANENT,2022-09-11,2022-09-01,1,0,0,1,0,0,WIN,DRAW,HOME,2022,True,Bounce
Thiago Motta,Luca Vigiani,0,0,0,0,0,0,0,1,1,0,0,0,Bologna,Bologna,SERIE_A,PERMANENT,INTERIM,2022-09-17,2022-09-04,0,0,0,1,1,0,LOSS,DRAW,HOME,2022,False,No-Bounce
Michel Padovani,Jean-Marc Furlan,0,0,0,0,1,1,0,0,0,0,0,0,Auxerre,Auxerre,LIGUE_1,INTERIM,PERMANENT,2022-10-16,2022-10-02,0,0,1,1,0,0,DRAW,DRAW,HOME,2022,False,No-Bounce
Christophe Pélissier,Michel Padovani,1,0,0,0,0,1,0,0,0,0,0,0,Auxerre,Auxerre,LIGUE_1,PERMANENT,INTERIM,2022-10-30,2022-10-16,1,0,0,1,0,0,WIN,DRAW,HOME,2022,True,Bounce
Jürgen Klinsmann,Ante Čović,0,0,0,0,0,0,0,0,1,1,0,0,Hertha BSC,Hertha BSC,BUNDESLIGA,PERMANENT,PERMANENT,2019-11-30,2019-11-09,0,0,0,0,1,1,LOSS,LOSS,HOME,2019,False,No-Bounce
